Categoría: Todas las categorías

Mes,CHOCOLATE: (Estados Unidos)
2006-03,30
2006-04,32
2006-05,31
2006-06,26
2006-07,29
2006-08,42
2006-09,37
2006-10,40
2006-11,47
2006-12,67
2007-01,42
2007-02,49
2007-03,34
2007-04,36
2007-05,33
2007-06,32
2007-07,34
2007-08,36
2007-09,35
2007-10,36
2007-11,43
2007-12,64
2008-01,38
2008-02,46
2008-03,36
2008-04,35
2008-05,34
2008-06,30
2008-07,31
2008-08,32
2008-09,32
2008-10,38
2008-11,46
2008-12,62
2009-01,36
2009-02,48
2009-03,36
2009-04,37
2009-05,35
2009-06,33
2009-07,34
2009-08,34
2009-09,35
2009-10,39
2009-11,50
2009-12,65
2010-01,42
2010-02,49
2010-03,39
2010-04,38
2010-05,38
2010-06,34
2010-07,34
2010-08,34
2010-09,35
2010-10,39
2010-11,47
2010-12,64
2011-01,44
2011-02,54
2011-03,42
2011-04,42
2011-05,40
2011-06,38
2011-07,38
2011-08,37
2011-09,41
2011-10,45
2011-11,52
2011-12,72
2012-01,47
2012-02,57
2012-03,41
2012-04,41
2012-05,40
2012-06,39
2012-07,40
2012-08,40
2012-09,41
2012-10,43
2012-11,54
2012-12,74
2013-01,46
2013-02,61
2013-03,47
2013-04,41
2013-05,42
2013-06,44
2013-07,39
2013-08,41
2013-09,41
2013-10,43
2013-11,58
2013-12,73
2014-01,52
2014-02,60
2014-03,45
2014-04,45
2014-05,43
2014-06,40
2014-07,40
2014-08,38
2014-09,38
2014-10,41
2014-11,56
2014-12,72
2015-01,49
2015-02,58
2015-03,44
2015-04,41
2015-05,44
2015-06,39
2015-07,39
2015-08,41
2015-09,40
2015-10,44
2015-11,56
2015-12,74
2016-01,52
2016-02,57
2016-03,48
2016-04,44
2016-05,45
2016-06,42
2016-07,42
2016-08,40
2016-09,42
2016-10,45
2016-11,53
2016-12,79
2017-01,51
2017-02,57
2017-03,47
2017-04,49
2017-05,45
2017-06,42
2017-07,44
2017-08,41
2017-09,41
2017-10,46
2017-11,58
2017-12,79
2018-01,53
2018-02,59
2018-03,50
2018-04,43
2018-05,43
2018-06,41
2018-07,42
2018-08,42
2018-09,42
2018-10,45
2018-11,57
2018-12,80
2019-01,52
2019-02,61
2019-03,50
2019-04,44
2019-05,42
2019-06,41
2019-07,41
2019-08,41
2019-09,40
2019-10,47
2019-11,54
2019-12,73
2020-01,52
2020-02,58
2020-03,47
2020-04,68
2020-05,57
2020-06,49
2020-07,46
2020-08,44
2020-09,42
2020-10,51
2020-11,61
2020-12,100
2021-01,58
2021-02,69
2021-03,48
2021-04,45
2021-05,45
2021-06,41
2021-07,42
2021-08,42
2021-09,41
2021-10,49
2021-11,60
2021-12,82
2022-01,63
2022-02,65
2022-03,51
2022-04,52
2022-05,50
2022-06,47
2022-07,46
2022-08,47
2022-09,44
2022-10,53
2022-11,61
2022-12,82
2023-01,59
2023-02,65
2023-03,57
2023-04,49
2023-05,49
2023-06,47
2023-07,46
2023-08,45
2023-09,47
2023-10,52
2023-11,65
2023-12,90
2024-01,59
2024-02,63
2024-03,57
2024-04,49
2024-05,50
2024-06,50
2024-07,48
2024-08,50
2024-09,50
2024-10,53
2024-11,69
2024-12,90
2025-01,67
2025-02,77
2025-03,64
2025-04,64
2025-05,58
2025-06,56
2025-07,60
2025-08,59
2025-09,54
2025-10,64
2025-11,76
2025-12,99
2026-01,74
2026-02,79
